,eventKey,key,k_time,d_time,quiz_attempts,random_victims_locations,x,rm_id,idx,victims_alive,victim,random_victims_coordinates,map_knowledge_cond,game_start_time,passed_quiz_time,mission_map,trial,z,time_from_start,action,action_data,score,timestep,game_end,exp_time,victims_alive_coordinates,victim_saved_coordinates
0,-MjSk-_vuYSCxISt8KWy,up,2021-09-13T06:02:34.403Z,2021-09-13T06:02:28.257Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",5.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,76.0,6.3679999999999986,move,up,0,0,victims saved,2021-09-13T06:05:19.008Z,,
1,-MjSk-ccWi4m4UHn1qRY,up,2021-09-13T06:02:34.585Z,2021-09-13T06:02:34.417Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",5.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,75.0,6.550000000000001,move,up,0,0,victims saved,2021-09-13T06:05:19.008Z,,
2,-MjSk-j3Y0xBM1bbNpkL,up,2021-09-13T06:02:34.985Z,2021-09-13T06:02:34.598Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",5.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,74.0,6.949999999999999,move,up,0,0,victims saved,2021-09-13T06:05:19.008Z,,
3,-MjSk-n0o38nRL1SsASU,right,2021-09-13T06:02:35.236Z,2021-09-13T06:02:34.999Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",6.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,74.0,7.200999999999997,move,right,0,0,victims saved,2021-09-13T06:05:19.008Z,,
4,-MjSk-pcXjTHCaIi3-l4,right,2021-09-13T06:02:35.420Z,2021-09-13T06:02:35.249Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",7.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,74.0,7.385000000000002,move,right,0,0,victims saved,2021-09-13T06:05:19.008Z,,
5,-MjSk-sS7ZWLflMhKtMt,right,2021-09-13T06:02:35.586Z,2021-09-13T06:02:35.433Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",8.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,74.0,7.550999999999998,move,right,0,0,victims saved,2021-09-13T06:05:19.008Z,,
6,-MjSk-ukE7zmRCpTlgTH,right,2021-09-13T06:02:35.737Z,2021-09-13T06:02:35.599Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",9.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,74.0,7.702000000000002,move,right,0,0,victims saved,2021-09-13T06:05:19.008Z,,
7,-MjSk-xABjFlGa-nxABl,right,2021-09-13T06:02:35.902Z,2021-09-13T06:02:35.750Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",10.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,74.0,7.867000000000001,move,right,0,0,victims saved,2021-09-13T06:05:19.008Z,,
8,-MjSk-yfaJl1Lz-uqC8q,up,2021-09-13T06:02:35.986Z,2021-09-13T06:02:35.915Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",10.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,73.0,7.950999999999997,move,up,0,0,victims saved,2021-09-13T06:05:19.008Z,,
9,-MjSk004flNsAju0_3MB,up,2021-09-13T06:02:36.135Z,2021-09-13T06:02:35.999Z,2,"[257, 728, 892, 570, 1377, 605, 1341, 1544, 2223, 2326, 1555, 2243, 2564, 2496, 2470, 2730, 2401, 3307, 3098, 3455, 3834, 3444, None, 3791, 4496]",10.0,b'ecf7410f92f1ff8523d7997cac859d57f233638b',0.0,,,"[(7, 5), (28, 14), (42, 17), (20, 11), (27, 27), (5, 12), (41, 26), (44, 30), (23, 44), (26, 46), (5, 31), (43, 44), (14, 51), (46, 49), (20, 49), (30, 54), (1, 48), (7, 66), (48, 61), (5, 69), (34, 76), (44, 68), None, (41, 75), (46, 89)]",1,2021-09-13T06:02:28.035Z,2021-09-13T06:02:28.054Z,saturn2d,1,72.0,8.099999999999998,move,up,0,0,victims saved,2021-09-13T06:05:19.008Z,,
